disease	model_gene	marker_gene	model_gene_taxon	owlsim_score	owlsim_rank	models	disease_pheno_count	disease_gene_count	modgene_pheno_count	isLeafNode
OMIM:104300	MGI:88057	NCBIGene:348	Mouse			4	5	210	12	true
OMIM:312750	MGI:99918	NCBIGene:4204	Mouse	56	3	31	104	162	5	false
OMIM:310200	ZFIN:ZDB-GENE-010426-1	NCBIGene:1756	Zebrafish	57	1	2	79	84	9	false
OMIM:313200	MGI:88064	NCBIGene:367	Mouse	66	2	1	32	194	1	false
OMIM:302060	ZFIN:ZDB-GENE-030131-684	NCBIGene:6901	Zebrafish			2	36	12	1	false
OMIM:300624	MGI:95564	NCBIGene:2332	Mouse	50	4	8	122	71	4	false
OMIM:310200	MGI:94909	NCBIGene:1756	Mouse	72	1	22	79	121	9	false
OMIM:167320	MGI:99919	NCBIGene:7415	Mouse			2	25	37	1	false
OMIM:102700	MGI:87916	NCBIGene:100	Mouse			1	29	34	2	false
OMIM:187600	MGI:95524	NCBIGene:2261	Mouse	68	2	2	53	206	1	true
OMIM:607016	MGI:96418	NCBIGene:3425	Mouse	69	2	1	30	103	1	true
OMIM:251260	MGI:1351625	NCBIGene:4683	Mouse	52	12	7	72	75	1	false
DOID:332	ZFIN:ZDB-GENE-990415-258	NCBIGene:6647	Zebrafish			3	341	3	124	false
OMIM:257220	MGI:1097712	NCBIGene:4864	Mouse	53	4	16	26	138	1	true
OMIM:203100	MGI:98880	NCBIGene:7299	Mouse	71	3	1	20	66	1	true
OMIM:168600	MGI:1277151	NCBIGene:6622	Mouse			1	22	31	15	true
DOID:1926	ZFIN:ZDB-GENE-100922-270	NCBIGene:2629	Zebrafish	40	8	1	334	26	12	false
OMIM:118200	MGI:103177	NCBIGene:4359	Mouse	48	5	2	19	30	1	true
DOID:0050439	ZFIN:ZDB-GENE-060312-41	NCBIGene:10083	Zebrafish	39	8	3	126	19	29	false
OMIM:241500	MGI:87983	NCBIGene:249	Mouse			2	39	37	1	true
OMIM:219800	MGI:1932872	NCBIGene:1497	Mouse			1	183	12	10	false
OMIM:109150	MGI:1099442	NCBIGene:4287	Mouse			1	92	13	4	false
OMIM:300322	MGI:96217	NCBIGene:3251	Mouse	51	9	2	69	189	1	false
OMIM:276904	MGI:1919338	NCBIGene:10083	Mouse			5	3	65	1	true
OMIM:219700	ZFIN:ZDB-GENE-050517-20	NCBIGene:1080	Zebrafish	44	7	1	182	28	22	false
OMIM:187950	MGI:96629	NCBIGene:3717	Mouse	69	21	1	7	69	5	true
OMIM:232300	MGI:95609	NCBIGene:2548	Mouse	58	7	5	71	46	5	false
OMIM:604370	MGI:104537	NCBIGene:672	Mouse			3	1	117	6	true
OMIM:207900	MGI:88084	NCBIGene:435	Mouse	54	6	2	35	34	1	true
OMIM:249100	MGI:1859396	NCBIGene:4210	Mouse			4	96	47	2	false
OMIM:252920	MGI:1351641	NCBIGene:4669	Mouse			3	140	59	7	false
OMIM:252500	MGI:3643902	NCBIGene:79158	Mouse	52	7	2	92	38	1	false
OMIM:312080	MGI:97623	NCBIGene:5354	Mouse	54	3	4	102	52	7	false
OMIM:245200	MGI:95636	NCBIGene:2581	Mouse	49	10	2	81	69	8	false
OMIM:606889	MGI:109284	NCBIGene:5664	Mouse			1	4	9	2	true
OMIM:232600	MGI:97830	NCBIGene:5837	Mouse	64	3	1	32	6	4	false
OMIM:176670	MGI:96794	NCBIGene:4000	Mouse	62	1	5	365	211	5	false
OMIM:301000	ZFIN:ZDB-GENE-030131-7098	NCBIGene:7454	Zebrafish			1	138	3	3	false
OMIM:601675	MGI:95413	NCBIGene:2068	Mouse	66	9	3	19	85	3	true
OMIM:601472	MGI:2449057	NCBIGene:2617	Mouse	44	8	3	13	32	1	true
OMIM:262500	MGI:95708	NCBIGene:2690	Mouse	56	5	2	45	139	1	false
OMIM:268000	MGI:97914	NCBIGene:6010	Mouse	59	8	2	3	47	17	true
OMIM:220290	MGI:95720	NCBIGene:2706	Mouse			2	2	49	3	true
OMIM:610153	MGI:2446166	NCBIGene:153562	Mouse			1	1	28	1	true
OMIM:607625	MGI:1915213	NCBIGene:10577	Mouse			1	27	31	1	true
OMIM:162300	MGI:97902	NCBIGene:5979	Mouse	59	3	2	38	130	1	false
OMIM:305000	MGI:1861727	NCBIGene:1736	Mouse			3	48	68	1	true
OMIM:235200	MGI:109191	NCBIGene:3077	Mouse			13	25	32	6	true
OMIM:175100	MGI:88039	NCBIGene:324	Mouse	53	7	9	42	240	3	false
DOID:0050570	ZFIN:ZDB-GENE-030722-6	NCBIGene:5373	Zebrafish	46	8	1	681	13	42	false
OMIM:257200	MGI:98325	NCBIGene:6609	Mouse	55	2	2	27	33	1	true
OMIM:607616	MGI:98325	NCBIGene:6609	Mouse	53	7	2	13	33	2	true
OMIM:208900	MGI:107202	NCBIGene:472	Mouse	57	3	7	115	111	2	false
OMIM:277700	MGI:109635	NCBIGene:7486	Mouse			2	109	35	2	false
OMIM:208400	MGI:104873	NCBIGene:175	Mouse	63	1	2	73	32	1	false
OMIM:312870	MGI:104903	NCBIGene:2719	Mouse	53	13	8	143	75	4	false
OMIM:223900	MGI:1914544	NCBIGene:8518	Mouse	49	6	3	90	94	3	false
OMIM:252900	MGI:1350341	NCBIGene:6448	Mouse	46	13	1	21	19	1	true
OMIM:248600	MGI:105386	NCBIGene:1629	Mouse	46	11	3	17	7	13	false
OMIM:219700	MGI:88388	NCBIGene:1080	Mouse	66	3	17	182	119	22	false
DOID:13515	ZFIN:ZDB-GENE-030131-2702	NCBIGene:7249	Zebrafish			1	147	26	7	false
OMIM:229300	MGI:1096879	NCBIGene:2395	Mouse	51	9	5	25	45	1	true
OMIM:231000	MGI:95665	NCBIGene:2629	Mouse			8	44	83	1	true
OMIM:168601	MGI:1277151	NCBIGene:6622	Mouse			7	13	31	1	true
OMIM:219500	MGI:1339968	NCBIGene:1491	Mouse	39	16	1	1	25	1	true
OMIM:220100	MGI:1195264	NCBIGene:6519	Mouse			3	62	24	10	false
OMIM:607014	MGI:96418	NCBIGene:3425	Mouse	66	1	5	79	103	1	true
OMIM:101000	MGI:97307	NCBIGene:4771	Mouse	52	2	1	62	88	1	true
OMIM:301000	MGI:105059	NCBIGene:7454	Mouse	61	5	2	138	57	3	false
DOID:2729	ZFIN:ZDB-GENE-031118-120	NCBIGene:1736	Zebrafish			1	310	8	34	false
OMIM:607822	MGI:1202717	NCBIGene:5663	Mouse			5	18	148	1	false
