CAHM2_HUMAN	CALHM2	51063
CAHM3_HUMAN	CALHM3	119395
CCG4_HUMAN	CACNG4	27092
GPHRB_HUMAN	GPR89B	51463
CNGA4_HUMAN	CNGA4	1262
FA26F_HUMAN	FAM26F	441168
FA26D_HUMAN	FAM26D	221301
FA26E_HUMAN	FAM26E	254228
FXYD4_HUMAN	FXYD4	53828
FXYD8_HUMAN	FXYD6P3	406875
GLRA4_HUMAN	GLRA4	441509
KCNKG_HUMAN	KCNK16	83795
KCAB3_HUMAN	KCNAB3	9196
KCJ18_HUMAN	KCNJ18	100134444
KCJ14_HUMAN	KCNJ14	3770
KCNK7_HUMAN	KCNK7	10089
LRC38_HUMAN	LRRC38	126755
LRC55_HUMAN	LRRC55	219527
LRC52_HUMAN	LRRC52	440699
PK1L2_HUMAN	PKD1L2	114780
PKDRE_HUMAN	PKDREJ	10343
PK1L1_HUMAN	PKD1L1	168507
TMC2_HUMAN	TMC2	117532
TMC4_HUMAN	TMC4	147798
TTYH2_HUMAN	TTYH2	94015
