ADCK1_HUMAN	ADCK1	57143
ADCK5_HUMAN	ADCK5	203054
ALPK3_HUMAN	ALPK3	57538
ALPK2_HUMAN	ALPK2	115701
CDKL4_HUMAN	CDKL4	344387
EKI2_HUMAN	ETNK2	55224
CSK23_HUMAN	CSNK2A3	283106
DYRK4_HUMAN	DYRK4	8798
GLPK3_HUMAN	GK3P	2713
GLPK2_HUMAN	GK2	2712
PANK4_HUMAN	PANK4	55229
PAN3_HUMAN	PAN3	255967
PACE1_HUMAN	SCYL3	57147
KC1AL_HUMAN	CSNK1A1L	122011
KPSH1_HUMAN	PSKH1	5681
KS6C1_HUMAN	RPS6KC1	26750
KPSH2_HUMAN	PSKH2	85481
M3KL4_HUMAN	MAP3K21	84451
NDK8_HUMAN	NME2P1	283458
NRK_HUMAN	NRK	203447
NRBP2_HUMAN	NRBP2	340371
PDPK2_HUMAN	PDPK2P	653650
PDK1L_HUMAN	PDIK1L	149420
PRPS3_HUMAN	PRPS1L1	221823
PRKY_HUMAN	PRKY	5616
PSTK_HUMAN	PSTK	118672
SG494_HUMAN	SGK494	
RPKL1_HUMAN	RPS6KL1	83694
SG196_HUMAN	POMK	84197
SBK2_HUMAN	SBK2	646643
STKL1_HUMAN	STKLD1	169436
TESK2_HUMAN	TESK2	10420
UCKL1_HUMAN	UCKL1	54963
